year,event,value
1992,Football,20.68382353
1992,Biathlon,25.49632353
1960,Boxing,22.89010989
1952,Football,25.47445255
1984,Wrestling,24.36131387
2008,Football,22.14963504
2008,Wrestling,26.08303249
2016,Canoeing,26.94265233
1952,Basketball,24.34642857
2004,Boxing,23.61071429
1992,Equestrianism,33.53736655
2006,Ice Hockey,28.65602837
2008,Boxing,23.82685512
1960,Sailing,33.34736842
1984,Cross Country Skiing,24.65614035
2014,Ice Hockey,28.34736842
1984,Rowing,25.05944056
1988,Canoeing,24.0625
1952,Swimming,21.03780069
2004,Wrestling,26.26712329
1984,Sailing,27.79931973
1980,Cycling,23.09491525
1976,Canoeing,24.47811448
1936,Cycling,22.82550336
1972,Canoeing,24.95302013
1994,Alpine Skiing,23.98657718
1964,Wrestling,26.19063545
1968,Boxing,22.92307692
1912,Fencing,30.90460526
1998,Ice Hockey,27.51960784
2000,Boxing,23.74592834
2000,Sailing,29.68729642
2002,Biathlon,28.23127036
1912,Gymnastics,24.20645161
1920,Fencing,33.4437299
1964,Shooting,33.7266881
2002,Alpine Skiing,25.13504823
2002,Ice Hockey,28.14102564
1906,Athletics,24.27795527
2000,Wrestling,26.5477707
1968,Wrestling,25.59177215
2008,Canoeing,26.18670886
1904,Gymnastics,25.11671924
1988,Cross Country Skiing,25.21698113
1928,Fencing,33.503125
1972,Sailing,31.26168224
1984,Boxing,22.31987578
2004,Canoeing,26.14596273
1924,Fencing,33.87962963
1960,Wrestling,25.93251534
1984,Fencing,25.7195122
1980,Rowing,24.60182371
1988,Sailing,28.52727273
1948,Art Competitions,48.65558912
2012,Shooting,32.86404834
2016,Rowing,27.04531722
2006,Biathlon,28.69369369
1992,Boxing,23.07142857
1972,Boxing,23.30383481
2016,Shooting,32.14662757
2010,Biathlon,27.90643275
1976,Wrestling,24.83965015
1936,Rowing,24.8057971
2000,Canoeing,26.12463768
1908,Shooting,35.89048991
1992,Fencing,26.50284091
2006,Alpine Skiing,25.01420455
2012,Rowing,27.36543909
1996,Boxing,23.56338028
1992,Sailing,29.41176471
1968,Rowing,24.2122905
1996,Sailing,29.41899441
1976,Shooting,33.70194986
1994,Cross Country Skiing,25.91922006
2004,Shooting,32.59331476
2008,Shooting,33.26997245
2004,Rowing,26.1043956
2008,Rowing,26.60273973
2000,Rowing,26.44686649
1992,Wrestling,25.27762803
1952,Cycling,22.88172043
1976,Fencing,26.17473118
1924,Shooting,37.73190349
1960,Shooting,33.82573727
2014,Biathlon,28.01876676
2000,Shooting,32.37433155
2010,Cross Country Skiing,27.17647059
1960,Swimming,20.1957672
1964,Rowing,24.60582011
1988,Shooting,31.68601583
2010,Alpine Skiing,26.11548556
1976,Cycling,23.59424084
2014,Alpine Skiing,25.15885417
1992,Shooting,32.13246753
2012,Cycling,27.08268734
1976,Rowing,24.80670103
1952,Rowing,24.54615385
1998,Cross Country Skiing,26.48854962
1964,Fencing,28.50886076
1988,Fencing,26.37688442
1932,Athletics,24.56641604
2016,Cycling,27.085
1968,Shooting,33.77057357
1996,Wrestling,25.90274314
1968,Fencing,27.49751244
1972,Fencing,26.7238806
1972,Wrestling,25.60945274
1948,Fencing,34.91604938
1996,Rowing,25.9037037
1988,Rowing,25.50245098
1988,Boxing,22.937046
1960,Cycling,23.09903382
1984,Cycling,23.33573141
1996,Canoeing,25.44364508
2014,Cross Country Skiing,27.23021583
2002,Cross Country Skiing,27.07142857
1996,Cycling,25.93396226
1988,Alpine Skiing,22.70588235
1960,Rowing,23.99765258
1980,Swimming,19.55399061
1984,Shooting,33.15962441
1996,Shooting,32.43896714
1992,Cross Country Skiing,24.57701149
1956,Gymnastics,26.90639269
1988,Wrestling,24.92482916
1972,Rowing,24.35827664
1988,Cycling,23.20045045
1992,Canoeing,25
1964,Cycling,23.26292135
2004,Cycling,27.35650224
2006,Cross Country Skiing,26.56053812
1992,Rowing,25.23489933
2000,Cycling,27.33333333
1964,Swimming,20.07809111
2012,Gymnastics,23.78111588
1972,Shooting,33.55460385
1992,Cycling,23.60599572
1952,Fencing,31.61324786
2008,Cycling,26.8525641
2016,Gymnastics,24.00209205
1968,Cycling,23.31327801
1960,Fencing,28.23155738
1992,Alpine Skiing,23.2392638
1936,Fencing,30.46530612
1924,Gymnastics,27.58917836
1980,Gymnastics,22.83267717
1928,Gymnastics,26.05323194
1972,Cycling,23.22623574
1984,Gymnastics,22.84754991
2008,Gymnastics,24.22816399
1976,Swimming,19.3831283
2000,Gymnastics,23.28971963
2004,Gymnastics,23.76552795
1928,Art Competitions,46.8374613
1920,Shooting,37.95877863
1936,Art Competitions,42.9880597
1972,Swimming,19.66224189
1988,Gymnastics,22.10791367
1968,Swimming,19.70689655
1976,Gymnastics,22.52564103
1908,Athletics,23.77856135
1992,Gymnastics,22.44951591
1956,Athletics,24.84016393
1948,Athletics,25.92087312
1920,Athletics,24.7414966
1984,Swimming,20.21925134
2012,Swimming,23.33289646
1928,Athletics,24.33029909
1912,Shooting,36.09664948
1948,Gymnastics,28.21321696
2016,Swimming,23.25774473
1996,Gymnastics,22.74908648
1996,Swimming,21.71565114
1980,Athletics,24.85948478
1936,Athletics,24.95
1924,Athletics,24.57816092
1976,Athletics,24.86697248
1972,Gymnastics,24.10113636
1932,Art Competitions,47.53514739
1936,Gymnastics,25.99433749
2004,Swimming,22.60067873
1968,Gymnastics,24.12652608
2008,Swimming,23.05440696
1960,Gymnastics,25.95851064
1912,Athletics,23.48366702
1992,Swimming,21.19287212
1988,Swimming,20.71518325
1968,Athletics,25.23045267
1964,Athletics,25.30122951
2000,Swimming,22.26821862
1964,Gymnastics,25.11188119
1960,Athletics,25.04249012
1952,Athletics,25.82798834
1984,Athletics,24.73144876
1972,Athletics,25.20826162
2004,Athletics,26.17120954
2008,Athletics,26.12840136
2012,Athletics,26.24978831
1992,Athletics,25.52332815
2016,Athletics,26.45461538
1988,Athletics,25.24539877
1952,Gymnastics,26.70385965
2000,Athletics,26.01322199
1996,Athletics,25.87634409
