year,event,value
1988,Cycling,150
1992,Cycling,150
2004,Athletics,150
1976,Gymnastics,150
1980,Weightlifting,150
1988,Weightlifting,150
2012,Athletics,150
1980,Boxing,150
1984,Boxing,150
1976,Wrestling,150
2008,Judo,150
2012,Judo,150
2016,Judo,150
1976,Boxing,150
1984,Gymnastics,150
1996,Rowing,150
2012,Judo,150
2016,Judo,150
2004,Weightlifting,150
2006,Figure Skating,150
2012,Weightlifting,150
2016,Weightlifting,150
2004,Weightlifting,150
2000,Gymnastics,150
2004,Wrestling,150
1976,Rowing,150
1984,Athletics,150
1996,Athletics,150
2004,Athletics,150
1980,Figure Skating,150
2016,Judo,150
1992,Athletics,150
1996,Athletics,150
2000,Athletics,150
1984,Athletics,150
1976,Wrestling,150
2004,Weightlifting,150
1972,Gymnastics,150
1998,Figure Skating,150
2000,Badminton,150
2004,Gymnastics,150
2004,Weightlifting,150
2012,Weightlifting,150
1968,Wrestling,150
1972,Wrestling,150
2000,Athletics,150
1992,Sailing,150
1996,Sailing,150
2000,Sailing,150
1998,Biathlon,150
2002,Biathlon,150
2004,Judo,150
1972,Diving,150
1976,Diving,150
1992,Athletics,150
1996,Athletics,150
2000,Athletics,150
2008,Gymnastics,150
2012,Weightlifting,150
1928,Rowing,150
1932,Rowing,150
1936,Rowing,150
2008,Gymnastics,150
2016,Swimming,150
1968,Cycling,150
1992,Judo,150
1996,Judo,150
2000,Gymnastics,150
1964,Shooting,150
1972,Gymnastics,150
1964,Diving,150
1988,Weightlifting,150
1992,Weightlifting,150
1996,Weightlifting,150
2000,Weightlifting,150
2000,Weightlifting,150
1968,Wrestling,150
2000,Softball,150
1996,Gymnastics,150
2008,Athletics,150
2012,Athletics,150
2004,Judo,150
1996,Athletics,150
2012,Weightlifting,150
1980,Figure Skating,150
1984,Figure Skating,150
1976,Gymnastics,150
1992,Figure Skating,150
1988,Gymnastics,150
1976,Rowing,150
1988,Cycling,150
1992,Cycling,150
1980,Hockey,150
2012,Weightlifting,150
2000,Weightlifting,150
1984,Gymnastics,150
2004,Equestrianism,150
1984,Figure Skating,150
1988,Figure Skating,150
1992,Gymnastics,150
1980,Rowing,150
2000,Gymnastics,150
1960,Gymnastics,150
1984,Athletics,150
1936,Gymnastics,150
1992,Gymnastics,150
1992,Figure Skating,150
1994,Figure Skating,150
1998,Figure Skating,150
2000,Weightlifting,150
2008,Gymnastics,150
2016,Weightlifting,150
2000,Gymnastics,150
2016,Gymnastics,150
1996,Judo,150
2004,Rowing,150
1972,Wrestling,150
1984,Shooting,151
1988,Shooting,151
2016,Gymnastics,151
1972,Speed Skating,151
1960,Boxing,151
2008,Gymnastics,151
2016,Gymnastics,151
1964,Gymnastics,151
1988,Gymnastics,151
1976,Sailing,151
1972,Gymnastics,151
1972,Cross Country Skiing,151
1976,Wrestling,151
1984,Wrestling,151
2008,Athletics,151
2012,Diving,151
1976,Rowing,151
1968,Weightlifting,151
1972,Weightlifting,151
1960,Swimming,151
1972,Boxing,151
1996,Athletics,151
1984,Shooting,151
1980,Rowing,151
1968,Diving,151
1972,Diving,151
2000,Athletics,151
1988,Judo,151
1992,Judo,151
1976,Rowing,151
1980,Rowing,151
1988,Wrestling,151
1964,Gymnastics,151
1968,Gymnastics,151
2016,Shooting,151
1968,Figure Skating,151
1980,Gymnastics,151
2016,Gymnastics,151
1960,Athletics,151
1988,Shooting,151
1968,Gymnastics,151
2016,Weightlifting,151
2012,Gymnastics,151
2016,Gymnastics,151
1972,Boxing,151
2016,Gymnastics,151
2004,Diving,151
1972,Gymnastics,151
1988,Gymnastics,151
1988,Gymnastics,151
1972,Gymnastics,151
1968,Swimming,151
2012,Weightlifting,151
2016,Weightlifting,151
2004,Judo,151
2008,Judo,151
1996,Gymnastics,151
2016,Gymnastics,151
1972,Swimming,151
1980,Athletics,151
2016,Diving,151
1972,Athletics,151
2016,Weightlifting,151
2000,Table Tennis,151
1960,Weightlifting,151
1956,Gymnastics,151
1960,Gymnastics,151
1976,Weightlifting,151
1980,Weightlifting,151
2000,Shooting,151
1960,Canoeing,151
1972,Cross Country Skiing,151
2012,Equestrianism,151
2016,Equestrianism,151
2016,Athletics,151
2004,Weightlifting,151
2008,Weightlifting,151
1976,Cross Country Skiing,151
1996,Gymnastics,151
2000,Gymnastics,151
1988,Shooting,151
1988,Gymnastics,151
1968,Wrestling,151
1964,Gymnastics,151
2012,Weightlifting,151
2016,Weightlifting,151
1988,Gymnastics,151
1996,Gymnastics,151
2008,Athletics,151
1988,Shooting,151
1992,Shooting,151
2016,Wrestling,151
2006,Biathlon,151
1996,Weightlifting,151
1976,Weightlifting,152
2016,Fencing,152
2008,Athletics,152
1988,Table Tennis,152
1996,Table Tennis,152
1964,Boxing,152
1988,Athletics,152
1996,Athletics,152
2000,Athletics,152
2000,Diving,152
1972,Wrestling,152
1976,Wrestling,152
1996,Swimming,152
2016,Athletics,152
1968,Swimming,152
1972,Wrestling,152
2016,Boxing,152
1996,Boxing,152
2000,Athletics,152
1988,Gymnastics,152
1968,Diving,152
1972,Diving,152
1984,Alpine Skiing,152
1988,Alpine Skiing,152
1964,Swimming,152
2000,Gymnastics,152
2004,Gymnastics,152
2008,Gymnastics,152
2012,Weightlifting,152
2016,Athletics,152
1968,Athletics,152
2016,Athletics,152
2012,Wrestling,152
2016,Wrestling,152
2008,Gymnastics,152
1984,Gymnastics,152
2000,Athletics,152
2004,Athletics,152
1964,Gymnastics,152
1968,Gymnastics,152
2012,Archery,152
1984,Wrestling,152
2012,Gymnastics,152
2014,Freestyle Skiing,152
1980,Rowing,152
1980,Figure Skating,152
1984,Figure Skating,152
2014,Figure Skating,152
1976,Gymnastics,152
2004,Gymnastics,152
2008,Weightlifting,152
1988,Archery,152
2004,Fencing,152
2016,Athletics,152
2004,Athletics,152
2008,Weightlifting,152
2004,Gymnastics,152
2008,Gymnastics,152
2012,Athletics,152
1988,Boxing,152
2002,Figure Skating,152
1964,Weightlifting,152
1932,Figure Skating,152
1936,Figure Skating,152
1988,Weightlifting,152
1992,Gymnastics,152
2010,Figure Skating,152
2014,Figure Skating,152
1996,Wrestling,152
1988,Speed Skating,152
1994,Figure Skating,152
1980,Gymnastics,152
2016,Rowing,152
2014,Figure Skating,152
2000,Gymnastics,152
2014,Figure Skating,152
1980,Weightlifting,152
2008,Gymnastics,152
2008,Athletics,152
1964,Athletics,152
1968,Weightlifting,152
1972,Weightlifting,152
1976,Weightlifting,152
2010,Figure Skating,152
1984,Weightlifting,152
1988,Weightlifting,152
2008,Judo,152
2008,Weightlifting,152
1980,Rowing,152
1996,Rowing,152
2008,Diving,152
2000,Gymnastics,152
2012,Wrestling,152
2016,Wrestling,152
2010,Figure Skating,152
1996,Gymnastics,152
2012,Weightlifting,152
2008,Diving,152
2012,Diving,152
2016,Diving,152
2016,Athletics,152
1988,Gymnastics,152
1976,Gymnastics,152
1956,Gymnastics,152
1960,Gymnastics,152
1988,Hockey,152
1996,Hockey,152
1972,Boxing,152
2008,Judo,152
2012,Judo,152
2016,Gymnastics,152
2016,Wrestling,152
1994,Figure Skating,152
2016,Athletics,152
1960,Weightlifting,152
1964,Weightlifting,152
2016,Fencing,152
1984,Equestrianism,152
1996,Gymnastics,152
1988,Rowing,152
1988,Shooting,152
2004,Gymnastics,152
2012,Athletics,152
1960,Swimming,152
1964,Swimming,152
1984,Diving,152
1988,Diving,152
2012,Weightlifting,152
2016,Gymnastics,152
1980,Hockey,152
1988,Gymnastics,152
2008,Weightlifting,152
1980,Swimming,152
2014,Ski Jumping,152
2008,Gymnastics,152
1976,Weightlifting,152
1972,Weightlifting,152
1960,Athletics,152
2004,Gymnastics,152
1984,Weightlifting,152
1988,Weightlifting,152
1988,Gymnastics,152
1994,Figure Skating,152
1998,Figure Skating,152
2002,Figure Skating,152
2000,Diving,152
2016,Weightlifting,152
1960,Gymnastics,152
1964,Gymnastics,152
2012,Shooting,152
1972,Boxing,152
2004,Hockey,152
2008,Hockey,152
2012,Hockey,152
2004,Diving,152
1988,Shooting,152
1992,Shooting,152
1996,Shooting,152
2004,Shooting,152
1972,Rowing,152
2016,Weightlifting,152
1980,Boxing,152
1996,Football,152
1972,Athletics,152
1968,Cross Country Skiing,152
1996,Athletics,152
2000,Athletics,152
1980,Figure Skating,152
1964,Wrestling,152
1976,Gymnastics,152
1980,Gymnastics,152
1996,Boxing,152
2008,Gymnastics,152
2014,Biathlon,152
1972,Gymnastics,152
1976,Gymnastics,152
1984,Shooting,152
1992,Shooting,152
1996,Gymnastics,152
1996,Gymnastics,152
2000,Gymnastics,152
1988,Wrestling,152
1964,Equestrianism,152
1968,Equestrianism,152
1972,Equestrianism,152
1984,Hockey,152
1996,Weightlifting,152
1980,Athletics,152
2010,Ice Hockey,152
1960,Fencing,152
1988,Wrestling,152
1952,Gymnastics,152
1960,Gymnastics,152
1988,Rowing,152
1992,Rowing,152
1972,Weightlifting,152
2004,Gymnastics,152
2012,Gymnastics,152
1984,Shooting,152
1996,Athletics,152
1988,Gymnastics,152
1992,Gymnastics,152
1972,Fencing,152
1976,Fencing,152
1936,Gymnastics,152
1984,Weightlifting,152
2000,Gymnastics,152
1984,Figure Skating,152
1988,Figure Skating,152
2016,Hockey,152
1988,Weightlifting,152
1984,Athletics,152
1980,Diving,152
2004,Equestrianism,152
2008,Equestrianism,152
1980,Diving,152
1984,Diving,152
