year,event,value
2004,Gymnastics,43
2008,Gymnastics,43
1980,Swimming,43
1992,Gymnastics,43
1996,Gymnastics,43
2000,Gymnastics,43
2004,Gymnastics,43
2008,Gymnastics,43
2012,Gymnastics,43
2016,Gymnastics,43
2002,Figure Skating,43
2006,Figure Skating,43
1992,Gymnastics,43
2010,Figure Skating,43
2014,Figure Skating,43
1988,Figure Skating,43
2008,Athletics,43
2016,Athletics,43
1980,Gymnastics,43
2012,Athletics,43
2016,Athletics,43
1996,Athletics,43
2008,Athletics,43
2004,Athletics,43
2012,Rhythmic Gymnastics,43
1994,Short Track Speed Skating,43
2016,Athletics,43
1968,Figure Skating,43
1988,Gymnastics,43
1980,Gymnastics,43
1994,Freestyle Skiing,43
1998,Freestyle Skiing,43
2002,Freestyle Skiing,43
2006,Freestyle Skiing,43
2000,Athletics,43
2014,Figure Skating,43
1964,Athletics,43
2016,Gymnastics,43
1984,Rhythmic Gymnastics,43
1932,Athletics,43
1984,Athletics,43
1988,Athletics,43
1996,Rhythmic Gymnastics,43
2000,Rhythmic Gymnastics,43
1988,Gymnastics,43
2000,Synchronized Swimming,43
2004,Gymnastics,43
1988,Gymnastics,43
1976,Rowing,43
2014,Ski Jumping,43
1988,Swimming,43
2016,Shooting,43
2012,Gymnastics,43
2004,Gymnastics,43
2012,Athletics,43
2016,Athletics,43
2016,Athletics,43
1984,Rowing,43
2016,Athletics,43
2012,Athletics,43
2016,Athletics,43
2016,Athletics,43
2004,Rhythmic Gymnastics,43
2008,Athletics,43
2012,Athletics,43
2000,Rhythmic Gymnastics,43
2010,Figure Skating,43
2014,Figure Skating,43
1984,Rhythmic Gymnastics,43
2012,Athletics,43
2016,Athletics,43
2008,Shooting,43
2012,Athletics,43
2004,Diving,43
2012,Diving,43
1992,Athletics,43
1996,Athletics,43
1996,Gymnastics,43
1976,Gymnastics,43
1980,Gymnastics,43
2000,Swimming,43
2012,Gymnastics,43
2004,Diving,43
1960,Rowing,43
2016,Athletics,43
1988,Rowing,43
1992,Rowing,43
2004,Gymnastics,43
1996,Athletics,43
1996,Rhythmic Gymnastics,43
1980,Athletics,43
2008,Rhythmic Gymnastics,43
1988,Gymnastics,43
1980,Diving,43
2004,Gymnastics,43
1988,Athletics,43
2008,Gymnastics,43
1988,Gymnastics,43
2000,Gymnastics,43
2004,Gymnastics,43
2016,Trampolining,43
2008,Gymnastics,43
1936,Gymnastics,43
2008,Athletics,43
1984,Athletics,43
1992,Gymnastics,43
2012,Athletics,43
2004,Rhythmic Gymnastics,43
2002,Figure Skating,43
1988,Gymnastics,43
2004,Gymnastics,43
2008,Gymnastics,43
1988,Figure Skating,43
1976,Athletics,43
2012,Athletics,43
2016,Athletics,43
1996,Athletics,43
2004,Athletics,43
1996,Rhythmic Gymnastics,43
1996,Gymnastics,43
2000,Gymnastics,43
1984,Figure Skating,43
2000,Rhythmic Gymnastics,43
1984,Rhythmic Gymnastics,43
1996,Gymnastics,43
2004,Gymnastics,43
2000,Swimming,43
2004,Swimming,43
1972,Athletics,43
2016,Athletics,43
1972,Gymnastics,43
2000,Badminton,43
1972,Gymnastics,43
1976,Gymnastics,43
2014,Short Track Speed Skating,43
2016,Athletics,43
2008,Athletics,43
1996,Athletics,43
2000,Athletics,43
2004,Athletics,43
2008,Athletics,43
2012,Athletics,43
2000,Gymnastics,43
2012,Athletics,43
1996,Gymnastics,43
2012,Gymnastics,43
1992,Athletics,43
1996,Athletics,43
2000,Athletics,43
1964,Athletics,43
2004,Table Tennis,43
2000,Rhythmic Gymnastics,43
2012,Archery,43
1996,Diving,43
2000,Diving,43
2004,Diving,43
1988,Rhythmic Gymnastics,43
2016,Gymnastics,43
2004,Gymnastics,43
2012,Athletics,43
2004,Athletics,43
2016,Athletics,43
2004,Equestrianism,43
1980,Diving,43
1972,Gymnastics,43
1960,Gymnastics,43
1984,Rhythmic Gymnastics,43
1992,Gymnastics,43
2016,Rhythmic Gymnastics,43
2000,Gymnastics,43
2004,Gymnastics,43
2016,Rhythmic Gymnastics,43
2014,Figure Skating,43
1984,Rowing,43
1996,Rhythmic Gymnastics,43
2016,Table Tennis,43
1984,Rhythmic Gymnastics,44
1988,Rhythmic Gymnastics,44
2016,Athletics,44
1996,Gymnastics,44
2000,Gymnastics,44
1972,Swimming,44
1964,Athletics,44
1968,Athletics,44
1972,Athletics,44
2000,Rhythmic Gymnastics,44
2008,Athletics,44
2012,Athletics,44
2016,Athletics,44
2012,Athletics,44
2012,Rhythmic Gymnastics,44
2016,Rhythmic Gymnastics,44
2000,Gymnastics,44
2004,Gymnastics,44
2008,Gymnastics,44
2004,Gymnastics,44
2008,Gymnastics,44
1968,Athletics,44
1988,Gymnastics,44
1992,Gymnastics,44
1996,Gymnastics,44
1988,Figure Skating,44
1992,Figure Skating,44
1994,Figure Skating,44
1980,Rowing,44
1976,Swimming,44
1980,Figure Skating,44
1984,Figure Skating,44
2000,Gymnastics,44
1996,Athletics,44
2000,Athletics,44
1984,Gymnastics,44
1996,Diving,44
2000,Diving,44
1988,Athletics,44
1996,Gymnastics,44
2000,Gymnastics,44
1996,Athletics,44
1988,Figure Skating,44
1992,Figure Skating,44
2000,Athletics,44
1972,Figure Skating,44
1976,Archery,44
1988,Gymnastics,44
2012,Athletics,44
1988,Athletics,44
1964,Athletics,44
1988,Athletics,44
1996,Rhythmic Gymnastics,44
1976,Gymnastics,44
1984,Rhythmic Gymnastics,44
2012,Athletics,44
2004,Athletics,44
2014,Ski Jumping,44
2000,Rhythmic Gymnastics,44
1984,Gymnastics,44
2000,Rhythmic Gymnastics,44
1988,Rhythmic Gymnastics,44
1988,Rhythmic Gymnastics,44
1984,Athletics,44
1972,Gymnastics,44
1992,Athletics,44
1996,Athletics,44
2004,Athletics,44
2016,Rhythmic Gymnastics,44
1980,Gymnastics,44
1984,Gymnastics,44
2016,Athletics,44
1980,Gymnastics,44
1972,Gymnastics,44
2014,Ski Jumping,44
2016,Athletics,44
2008,Athletics,44
2012,Athletics,44
2016,Athletics,44
1992,Athletics,44
1988,Figure Skating,44
1992,Figure Skating,44
1924,Rowing,44
1932,Rowing,44
2004,Shooting,44
2000,Athletics,44
2004,Athletics,44
2008,Athletics,44
2008,Swimming,44
1988,Athletics,44
1992,Athletics,44
1996,Athletics,44
2004,Rhythmic Gymnastics,44
2004,Rhythmic Gymnastics,44
2008,Athletics,44
2012,Diving,44
1960,Athletics,44
1996,Shooting,44
1976,Gymnastics,44
2008,Gymnastics,44
1996,Gymnastics,44
2000,Gymnastics,44
2002,Figure Skating,44
2010,Figure Skating,44
2004,Diving,44
1976,Gymnastics,44
1984,Gymnastics,44
2012,Athletics,44
2016,Athletics,44
1964,Gymnastics,44
2004,Rhythmic Gymnastics,44
1992,Athletics,44
1996,Athletics,44
1996,Gymnastics,44
2016,Athletics,44
2016,Rhythmic Gymnastics,44
2016,Gymnastics,44
1992,Figure Skating,44
1994,Figure Skating,44
1998,Figure Skating,44
2016,Athletics,44
1972,Figure Skating,44
1996,Rhythmic Gymnastics,44
2000,Gymnastics,44
1992,Freestyle Skiing,44
1994,Freestyle Skiing,44
1998,Freestyle Skiing,44
1992,Athletics,44
1968,Figure Skating,44
1992,Athletics,44
2012,Athletics,44
2006,Snowboarding,44
2010,Snowboarding,44
1994,Figure Skating,44
2000,Rhythmic Gymnastics,44
2012,Athletics,44
1988,Athletics,44
1984,Rowing,44
1988,Rowing,44
1988,Athletics,44
1992,Athletics,44
1996,Rhythmic Gymnastics,44
1992,Gymnastics,44
1996,Rhythmic Gymnastics,44
2004,Rhythmic Gymnastics,44
2008,Gymnastics,44
2004,Gymnastics,44
1992,Figure Skating,44
2008,Rhythmic Gymnastics,44
1996,Rhythmic Gymnastics,44
1996,Athletics,44
1996,Athletics,44
2008,Athletics,44
1988,Rhythmic Gymnastics,44
1988,Athletics,44
2004,Gymnastics,44
1988,Athletics,44
1992,Athletics,44
1996,Rhythmic Gymnastics,44
2004,Athletics,44
2004,Athletics,44
1972,Gymnastics,44
1980,Gymnastics,44
1996,Gymnastics,44
1988,Figure Skating,44
2000,Athletics,44
1992,Figure Skating,44
1994,Figure Skating,44
1976,Rowing,44
2000,Gymnastics,44
1984,Gymnastics,44
1960,Swimming,44
1964,Swimming,44
2012,Athletics,44
1996,Rhythmic Gymnastics,44
1992,Fencing,44
1984,Rowing,44
2016,Rhythmic Gymnastics,44
2000,Rhythmic Gymnastics,44
1972,Athletics,44
1976,Athletics,44
2016,Athletics,44
2016,Rhythmic Gymnastics,44
1976,Gymnastics,44
2002,Figure Skating,44
2006,Figure Skating,44
2008,Athletics,44
2008,Triathlon,44
2012,Triathlon,44
2016,Triathlon,44
1996,Swimming,44
1976,Gymnastics,44
1984,Swimming,44
2000,Rhythmic Gymnastics,44
1988,Gymnastics,44
2006,Figure Skating,44
2010,Figure Skating,44
2014,Figure Skating,44
2008,Athletics,44
2012,Athletics,44
2016,Athletics,44
1976,Swimming,44
1988,Figure Skating,44
1998,Figure Skating,44
2000,Gymnastics,44
1998,Figure Skating,44
2002,Figure Skating,44
2006,Figure Skating,44
1984,Gymnastics,44
2012,Volleyball,45
2000,Rhythmic Gymnastics,45
2000,Athletics,45
2016,Athletics,45
1976,Fencing,45
2004,Athletics,45
2016,Fencing,45
2008,Athletics,45
2008,Athletics,45
1988,Table Tennis,45
1996,Table Tennis,45
1980,Gymnastics,45
1988,Rowing,45
1984,Rowing,45
2004,Rhythmic Gymnastics,45
2008,Rhythmic Gymnastics,45
1998,Figure Skating,45
2000,Rhythmic Gymnastics,45
1988,Diving,45
2016,Rhythmic Gymnastics,45
1980,Athletics,45
2008,Archery,45
2012,Archery,45
2008,Gymnastics,45
2016,Gymnastics,45
2000,Rhythmic Gymnastics,45
1984,Alpine Skiing,45
1988,Alpine Skiing,45
1988,Cross Country Skiing,45
1992,Cross Country Skiing,45
1994,Cross Country Skiing,45
1998,Cross Country Skiing,45
2002,Cross Country Skiing,45
2016,Athletics,45
1984,Athletics,45
1988,Athletics,45
1988,Rowing,45
1996,Rhythmic Gymnastics,45
2016,Athletics,45
2000,Athletics,45
2000,Gymnastics,45
1984,Gymnastics,45
1992,Gymnastics,45
1992,Athletics,45
1932,Athletics,45
1976,Diving,45
2012,Athletics,45
1998,Figure Skating,45
2002,Figure Skating,45
2006,Figure Skating,45
1976,Swimming,45
1984,Diving,45
1988,Athletics,45
2000,Athletics,45
2004,Athletics,45
2002,Figure Skating,45
1968,Rowing,45
1976,Gymnastics,45
1980,Gymnastics,45
1976,Swimming,45
1994,Figure Skating,45
1984,Rowing,45
2000,Gymnastics,45
2000,Diving,45
2004,Diving,45
2008,Gymnastics,45
1980,Gymnastics,45
1972,Figure Skating,45
1976,Figure Skating,45
1984,Rowing,45
1998,Figure Skating,45
2012,Athletics,45
2016,Athletics,45
1972,Rowing,45
1976,Rowing,45
1980,Rowing,45
1980,Rowing,45
1968,Gymnastics,45
2004,Gymnastics,45
2008,Gymnastics,45
2012,Gymnastics,45
1998,Figure Skating,45
2008,Diving,45
1988,Athletics,45
1992,Athletics,45
1980,Rowing,45
2010,Figure Skating,45
2008,Gymnastics,45
2012,Gymnastics,45
2016,Gymnastics,45
2016,Rhythmic Gymnastics,45
2000,Shooting,45
1984,Athletics,45
1988,Athletics,45
1988,Rhythmic Gymnastics,45
2012,Athletics,45
1896,Athletics,45
2000,Shooting,45
1984,Athletics,45
1996,Cycling,45
1988,Table Tennis,45
1992,Table Tennis,45
2016,Athletics,45
1988,Rowing,45
1976,Rowing,45
1976,Rowing,45
1980,Rowing,45
1992,Athletics,45
1984,Gymnastics,45
1984,Athletics,45
1932,Swimming,45
1936,Swimming,45
1984,Alpine Skiing,45
